age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing,cond
29.0,2,580.0,0,0,78,0,0,150,0,0,5,1,0,0,1,0,0,4,0,0,0,0,7,0,0,38.0,1.27,0,0,0
35.0,0,650.0,49,2,121,49,0,271,0,0,23,1,0,0,1,0,0,0,0,0,0,0,7,0,0,66.0,2.2,1,0,0
21.0,1,649.0,4,0,37,4,0,56,0,0,5,1,1,1,0,1,0,0,0,0,0,0,4,0,0,14.0,0.7,1,0,0
28.0,2,526.0,0,0,107,0,0,199,0,0,9,1,1,1,0,1,0,4,0,0,0,0,0,0,0,43.0,1.4300000000000002,0,0,0
24.0,1,529.0,46,2,53,44,0,206,0,0,21,1,1,1,0,1,0,0,0,0,0,0,0,1,0,41.0,1.37,1,0,0
28.0,0,531.0,0,0,0,0,1,37,0,0,1,1,1,1,1,0,0,0,0,0,0,0,11,0,0,26.0,0.87,0,0,0
29.0,1,524.0,0,0,154,0,0,283,0,0,11,1,1,1,0,1,0,4,0,0,0,0,4,0,0,67.0,2.23,0,0,0
29.0,1,505.0,0,0,0,0,0,128,0,0,4,1,1,1,0,1,2,3,0,0,0,0,10,0,0,45.0,1.5,0,0,0
26.0,1,494.0,7,1,40,7,0,56,0,0,2,1,1,1,1,0,0,0,0,0,0,0,8,1,0,28.0,0.93,1,0,0
41.0,1,572.0,0,0,0,0,0,187,0,0,17,1,1,1,1,0,0,0,0,0,0,0,4,0,0,58.0,1.93,0,0,0
50.0,1,534.0,8,2,41,8,0,122,0,0,11,1,1,1,1,0,0,0,0,0,0,0,4,0,0,38.0,1.27,1,0,0
28.0,1,585.0,2,0,96,2,0,131,0,0,27,1,1,1,1,0,5,0,0,0,0,0,2,1,0,36.0,1.2,0,0,0
46.0,1,530.0,59,2,65,59,0,289,0,0,36,1,1,1,1,0,0,3,0,0,0,0,11,1,0,66.0,2.2,1,0,0
23.0,1,640.0,0,0,80,0,0,172,0,0,18,1,0,0,0,1,0,4,0,0,0,0,0,0,0,53.0,1.77,0,0,0
30.0,2,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0.0,0.0,0,1,0
37.0,1,505.0,0,0,58,0,0,136,0,0,4,1,0,0,1,1,2,0,0,0,0,0,12,0,0,39.0,1.3,0,0,0
31.0,1,516.0,0,0,40,0,0,128,0,0,21,1,1,1,0,1,2,0,0,0,0,0,9,0,0,28.0,0.97,0,0,0
26.0,2,0.0,0,0,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,2.0,0.22,0,1,0
33.0,2,532.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,2,0,0,0.0,0.0,0,0,0
