user,churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
24744,0,29.0,na,580.0,0,0,78,0,0,150,0,0,5,1,0,0,1,0,0,na,0,0,0,0,Pisces,0,0,38.0,1.27,0
112,0,35.0,R,647.0,13,2,113,13,0,264,0,0,30,1,1,1,1,0,0,Weekly,0,0,0,0,Aries,0,0,68.0,2.27,1
57818,0,21.0,R,649.0,4,0,37,4,0,56,0,0,5,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,14.0,0.7,1
16077,0,49.0,na,519.0,28,4,71,28,0,175,0,0,28,1,1,1,1,0,0,Weekly,0,0,0,0,Taurus,0,0,35.0,1.17,1
3969,0,24.0,R,529.0,46,2,53,44,0,206,0,0,21,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,41.0,1.37,1
29151,0,38.0,R,515.0,0,0,0,0,3,166,0,0,24,1,1,1,1,1,2,na,0,0,0,0,Pisces,0,1,9.0,0.3,0
32671,0,27.0,na,518.0,0,0,6,0,0,5,0,0,0,1,1,1,0,1,0,Monthly,0,0,0,0,Aries,1,0,4.0,0.13,0
6756,1,30.0,O,537.0,0,0,12,0,0,249,0,0,7,1,0,0,0,1,0,Weekly,0,0,0,0,Pisces,0,0,63.0,2.1,0
46458,0,23.0,na,527.0,0,0,33,0,0,113,0,0,5,1,0,0,0,1,3,na,0,0,0,0,Cancer,0,0,27.0,0.9,0
6315,0,46.0,R,520.0,38,1,60,38,0,302,0,0,18,1,1,1,0,1,0,na,0,0,0,0,Aries,0,0,67.0,2.23,0
68041,1,27.0,R,,0,0,28,0,0,20,0,0,0,1,0,0,1,1,2,Monthly,0,0,0,0,Aquarius,0,0,15.0,0.5,0
3226,0,24.0,R,610.0,44,0,57,44,0,218,0,0,16,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,43.0,1.4300000000000002,0
51868,0,39.0,na,555.0,34,4,47,33,0,184,0,0,17,1,1,1,1,0,0,Weekly,0,0,0,0,Gemini,0,0,38.0,1.27,1
45207,0,22.0,O,527.0,0,0,48,0,0,183,0,0,11,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Pisces,0,0,58.0,1.93,0
2752,0,41.0,na,475.0,0,0,67,0,0,185,0,0,1,1,0,0,1,0,0,na,0,0,0,0,Pisces,0,0,59.0,1.97,1
53396,0,22.0,na,466.0,1,0,9,1,0,16,0,0,0,1,0,0,0,1,0,Weekly,0,0,0,0,Aries,0,0,7.0,0.32,1
69210,0,21.0,na,665.0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,1,0,1.0,0.03,0
41601,0,51.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,,0.0,0
55955,0,21.0,na,,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,1.0,0.06,0
55819,0,33.0,na,546.0,0,0,6,0,0,4,0,0,0,1,0,0,1,1,2,Bi-Weekly,0,0,0,0,Gemini,0,0,4.0,0.15,0
