age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
50.0,4,109668.18,16,2,7,1,0,1,0.0,0.0,60.0,1,2
46.0,4,194803.94,13,2,6,1,-1,0,0.0,0.0,55.0,1,2
53.0,4,106984.28,16,2,3,1,0,0,0.0,0.0,40.0,1,2
33.0,4,175752.84,14,0,7,0,0,0,0.0,0.0,50.0,1,2
60.0,4,151113.45,9,0,2,0,1,0,5104.964,0.0,40.0,1,2
43.0,4,138693.47,13,2,6,1,0,1,0.0,0.0,40.0,1,2
48.0,4,137311.44,14,2,7,1,0,0,0.0,1736.2319,40.0,1,2
43.0,4,96956.22,9,2,2,1,0,0,0.0,0.0,40.0,1,2
30.0,4,209930.39,10,2,3,1,0,0,0.0,0.0,60.0,1,2
40.0,2,359939.72,9,-1,3,2,1,1,0.0,0.0,40.0,1,2
62.0,4,212324.16,6,-1,6,0,1,1,0.0,0.0,40.0,1,2
43.0,4,116756.13,10,2,3,1,0,0,0.0,0.0,40.0,1,2
48.0,1,155022.8,13,-1,6,0,0,1,0.0,0.0,50.0,1,2
65.0,4,186784.12,14,2,7,1,0,0,0.0,0.0,40.0,1,2
32.0,4,115146.62,9,2,2,1,0,0,0.0,0.0,58.649475,1,2
63.0,5,205210.69,13,2,6,1,0,0,0.0,0.0,40.0,1,2
44.0,3,71353.79,14,2,7,1,0,0,0.0,1976.4054,40.0,1,2
34.0,6,280700.6,10,2,6,1,0,0,6614.097,0.0,50.0,1,2
28.0,3,174488.36,10,2,5,1,0,0,0.0,0.0,40.0,1,2
41.0,4,68098.9,13,2,3,1,0,0,0.0,0.0,40.0,1,2
53.0,4,320497.94,13,2,6,1,0,0,0.0,0.0,50.0,1,2
56.0,4,148981.1,10,2,3,1,0,0,0.0,0.0,40.0,1,2
49.0,4,96726.24,13,2,6,1,0,0,0.0,0.0,48.0,1,2
43.0,4,82143.15,9,2,2,1,0,0,0.0,0.0,40.0,1,2
51.0,6,153995.08,14,-1,6,2,0,1,96536.86,0.0,60.0,1,2
53.0,4,34404.613,16,2,7,1,0,0,14612.213,0.0,45.0,1,2
56.0,4,248569.7,13,2,3,1,0,0,0.0,0.0,45.0,1,2
47.0,2,178212.28,15,-1,7,0,0,0,10278.793,0.0,55.0,1,2
45.0,4,314632.16,14,1,3,0,0,0,21112.182,0.0,40.0,1,2
29.242216,4,107877.64,13,2,6,1,0,0,0.0,0.0,50.0,1,2
41.0,3,176184.39,9,0,3,0,0,0,5153.036,0.0,40.0,1,2
30.0,4,280742.56,9,2,2,1,0,0,0.0,1685.3645,60.0,1,2
53.0,6,118046.05,13,2,7,1,0,0,0.0,0.0,20.0,1,2
58.0,3,25340.818,14,-1,7,0,0,1,5049.0195,0.0,60.0,1,2
45.0,4,144446.98,11,2,7,1,0,0,0.0,0.0,55.0,1,2
40.0,1,253871.3,14,2,7,1,0,1,0.0,2193.4695,30.0,1,2
54.0,3,90771.24,12,-1,7,0,0,0,6468.7583,0.0,40.0,1,2
54.777786,1,131157.97,9,2,1,1,0,0,0.0,0.0,48.0,1,2
43.052364,4,189262.47,12,2,3,1,0,0,0.0,0.0,40.0,1,2
27.0,4,193038.6,10,2,3,1,0,0,0.0,0.0,40.0,1,2
40.0,4,181761.52,13,2,3,1,0,0,0.0,0.0,50.0,1,2
43.0,4,189080.2,14,2,3,1,-1,0,11196.153,0.0,45.0,0,2
73.95819,4,160692.02,15,2,3,1,0,0,15024.0,0.0,60.0,1,2
47.0,4,248888.48,16,2,7,1,0,1,0.0,0.0,50.0,1,2
44.0,4,197961.02,13,2,6,1,0,0,0.0,0.0,72.0,1,2
50.0,4,61430.984,13,2,6,1,0,1,0.0,0.0,40.0,1,2
29.0,4,329936.53,10,0,3,0,0,1,0.0,0.0,60.0,1,2
35.0,4,232623.36,13,2,7,1,0,0,4848.8687,0.0,50.0,1,2
36.0,4,156824.12,10,2,3,1,0,0,0.0,0.0,43.86493,1,2
58.0,4,118534.33,4,2,3,1,0,0,5013.0,0.0,40.0,1,2
36.172455,4,275069.0,13,2,5,1,-1,1,77775.31,0.0,40.0,1,2
37.0,4,488726.4,10,2,3,1,0,0,0.0,0.0,45.0,0,2
28.888252,4,201669.44,13,2,7,1,0,0,0.0,0.0,40.0,1,2
34.0,4,99457.39,13,2,3,1,0,0,0.0,1974.7461,38.0,1,2
49.0,1,144195.53,14,2,7,1,-1,0,5970.2637,0.0,50.0,0,2
38.0,4,188896.36,10,2,7,1,0,0,0.0,1537.9448,38.0,0,2
55.0,4,230600.19,9,2,2,1,0,0,7688.0,0.0,50.0,1,2
48.389038,4,123436.97,13,-1,3,0,0,1,0.0,0.0,50.0,1,2
61.0,4,171192.33,15,2,7,1,0,0,0.0,0.0,45.0,1,2
36.692947,4,161066.28,16,2,6,1,0,0,27308.467,0.0,40.0,1,2
33.0,4,172272.61,11,-1,2,0,0,0,0.0,0.0,60.0,1,2
53.0,4,128092.305,9,2,2,1,0,0,0.0,0.0,40.0,1,2
54.0,4,189548.53,10,2,2,1,0,0,0.0,0.0,49.213276,1,2
45.0,4,202331.19,13,1,7,0,0,1,0.0,1881.7186,45.0,1,2
57.0,4,202840.02,3,-1,6,2,1,1,0.0,0.0,40.0,1,2
59.165203,1,120585.055,15,2,7,1,0,0,0.0,0.0,75.0,1,2
29.0,4,160486.84,13,2,3,1,0,0,0.0,0.0,50.0,1,2
29.0,4,218977.4,9,-1,2,0,0,0,0.0,0.0,40.0,1,2
34.0,4,155498.8,9,2,2,1,0,0,0.0,0.0,50.0,1,2
51.0,4,182679.84,10,2,2,1,1,1,0.0,0.0,20.0,1,2
45.0,4,153376.2,4,2,2,1,0,0,0.0,0.0,50.0,1,2
54.0,1,239555.8,9,2,3,1,1,0,0.0,0.0,40.0,1,2
43.0,4,411631.22,13,2,3,1,1,0,0.0,0.0,70.0,1,2
36.0,4,184148.86,9,2,2,1,0,0,0.0,0.0,40.0,0,2
46.0,6,138746.31,14,2,7,1,-1,0,0.0,1901.2229,40.0,1,2
51.0,4,198153.14,13,2,1,1,0,0,7211.7305,0.0,40.0,1,2
61.0,4,172793.98,13,2,7,1,0,0,11819.121,0.0,40.0,1,2
42.0,4,237676.2,13,-1,2,0,0,0,0.0,0.0,40.0,1,2
47.0,4,34392.957,10,-1,7,0,0,0,0.0,0.0,45.0,1,2
33.0,4,374898.44,10,2,3,1,0,0,0.0,0.0,62.64864,1,2
28.0,3,33232.984,10,2,7,1,0,0,0.0,0.0,45.0,1,2
41.0,4,325876.5,13,2,7,1,0,0,0.0,0.0,50.0,1,2
42.0,3,99183.11,12,2,2,1,-1,0,0.0,0.0,37.0,1,2
41.0,2,28767.121,16,2,4,1,-1,1,0.0,0.0,40.0,0,2
35.0,6,269777.84,13,2,7,1,0,0,0.0,0.0,45.0,1,2
36.0,4,213071.97,13,0,6,0,0,0,0.0,0.0,50.0,1,2
44.0,5,180253.83,11,2,6,1,0,0,0.0,0.0,50.0,1,2
50.0,4,138358.58,3,2,3,1,0,0,0.0,0.0,40.0,0,2
56.0,6,182464.06,13,-1,6,0,0,0,0.0,0.0,50.0,1,2
