age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30.0,4,334420.53,10,0,2,-1,0,0,0.0,0.0,40.0,1,0
71.51707,4,441523.28,13,2,3,1,0,0,0.0,0.0,5.720354,1,0
47.0,4,305424.8,10,-1,3,0,0,0,0.0,0.0,40.0,1,0
41.0,1,113216.945,11,2,2,1,1,0,0.0,0.0,48.0,1,0
32.0,4,342431.1,9,0,3,3,0,1,0.0,0.0,40.0,1,0
25.0,4,178956.7,9,0,1,0,0,0,0.0,0.0,30.0,1,0
25.0,4,247236.31,13,0,2,3,1,0,0.0,0.0,25.0,1,0
46.0,4,109934.02,13,2,6,1,0,0,0.0,0.0,40.0,1,0
56.0,5,59637.16,13,2,7,1,0,0,0.0,0.0,40.0,1,0
50.0,4,280119.53,9,0,2,3,1,1,0.0,0.0,40.0,1,0
49.0,4,80976.414,9,2,3,1,0,0,0.0,0.0,40.0,1,0
46.0,4,120016.25,12,-1,3,2,-1,0,0.0,0.0,50.0,0,0
29.0,1,41206.938,10,0,4,3,0,0,0.0,0.0,40.0,1,0
33.0,4,218105.6,10,-1,5,2,0,1,0.0,0.0,35.0,1,0
42.974895,4,473450.38,10,0,6,0,0,0,0.0,0.0,40.0,1,0
19.0,4,182684.94,10,0,2,3,0,0,0.0,0.0,20.0,1,0
39.763554,5,45622.754,15,0,1,0,0,0,0.0,0.0,80.0,1,0
26.0,5,75859.516,10,2,7,1,0,1,0.0,0.0,40.0,1,0
31.0,4,123113.445,11,2,2,-1,-1,0,4022.9287,0.0,40.0,0,0
48.0,3,216838.25,7,-1,3,2,0,1,0.0,0.0,34.8901,1,0
27.0,4,270309.2,9,0,2,-1,0,0,0.0,0.0,60.0,0,0
56.0,5,173874.89,13,2,6,1,0,0,0.0,0.0,20.0,1,0
36.0,5,309164.3,10,0,3,3,1,1,0.0,0.0,40.0,1,0
27.0,4,161443.28,9,-1,3,3,0,1,0.0,0.0,40.0,1,0
19.0,4,152592.03,7,0,3,3,0,0,0.0,0.0,25.0,1,0
34.0,4,180701.28,9,2,3,1,0,0,0.0,0.0,40.0,1,0
61.0,1,272370.9,8,2,2,1,0,0,0.0,0.0,40.0,1,0
27.0,4,373937.88,9,0,3,0,0,0,0.0,0.0,55.0,1,0
19.0,4,164453.61,9,0,2,3,0,1,0.0,1646.588,40.0,1,0
64.0,4,114773.53,2,2,2,1,0,0,0.0,0.0,40.0,1,0
48.657967,5,263219.2,9,2,6,1,0,0,0.0,0.0,50.0,1,0
30.0,4,346891.4,10,-1,1,2,0,1,0.0,1723.4316,40.0,1,0
28.0,4,313918.28,3,0,2,-1,1,0,0.0,0.0,40.0,0,0
