age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,cond
31.0,4,318323.94,13,0,7,-1,-1,0,0.0,0.0,30.0,1,0
46.27766,6,292049.2,9,2,3,1,0,0,0.0,1594.6031,40.0,1,0
20.0,4,125900.984,10,0,2,3,0,0,0.0,0.0,40.0,1,0
29.0,4,378099.2,9,-1,3,2,0,1,0.0,0.0,50.0,1,0
37.0,4,61149.195,13,2,3,1,0,0,0.0,0.0,48.0,1,0
62.0,2,173195.03,12,-1,6,0,0,1,0.0,0.0,16.0,1,0
36.0,4,170112.81,13,0,3,-1,1,1,0.0,0.0,40.0,1,0
27.0,4,159159.05,9,0,2,3,-1,0,0.0,0.0,50.0,0,0
25.0,4,152548.3,11,0,2,2,0,1,3660.8184,0.0,30.0,1,0
36.0,4,104488.2,13,2,6,1,0,1,0.0,0.0,40.0,1,0
30.0,4,265254.16,9,-1,7,0,1,1,0.0,0.0,40.0,1,0
19.0,4,383976.66,10,0,7,-1,0,0,0.0,0.0,18.0,1,0
39.0,4,189920.31,10,0,3,0,0,0,0.0,0.0,40.0,0,0
31.0,4,156690.47,10,-1,6,2,0,1,0.0,0.0,40.0,1,0
22.0,4,411374.4,9,0,2,3,0,0,0.0,0.0,40.0,1,0
52.0,4,84283.21,9,2,3,1,0,0,0.0,0.0,40.0,1,0
20.0,5,117541.336,9,0,1,3,0,0,0.0,0.0,50.0,1,0
19.0,4,586072.94,10,0,3,3,0,0,0.0,0.0,20.0,1,0
63.0,4,240095.73,9,2,3,1,1,0,2721.4236,0.0,12.0,1,0
50.0,5,117008.94,4,2,2,1,0,0,0.0,0.0,71.676994,1,0
32.0,4,390999.16,9,2,2,1,0,0,0.0,0.0,40.0,1,0
52.0,2,232713.16,10,0,1,3,0,1,0.0,0.0,40.0,1,0
21.0,4,125036.11,10,0,7,3,0,1,0.0,0.0,25.0,1,0
66.0,4,148831.72,10,-1,2,2,0,1,0.0,0.0,20.0,0,0
39.0,4,22355.893,14,0,7,0,0,1,0.0,0.0,48.5488,1,0
25.0,4,190967.4,13,0,3,0,0,0,0.0,0.0,50.0,1,0
