age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred,credit_score_missing,cond
39.0,2,481.6359,0.0,0.0,50.0,0.0,0.0,107.127075,0.0,0.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,10,1.0,0.0,40.0,1.33,1.0,0.0,0
25.0,2,583.5348,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0
21.0,1,473.02344,9.0,2.0,59.0,11.0,0.0,83.26566,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,0.0,0.0,35.0,1.17,1.0,0.0,0
26.7794,1,459.87057,1.0,0.0,62.0,1.0,0.0,93.978874,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1.0,0.0,31.0,0.97,1.0,0.0,0
48.31026,2,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0
22.0,2,553.9115,0.0,0.0,58.0,0.0,0.0,85.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,0.7094735,0.0,0.0,0
26.0,2,467.6366,1.0,0.0,43.0,1.0,0.0,57.096836,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,16.939877,0.6535772,0.0,0.0,0
32.0,2,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0
28.0,2,0.0,0.0,0.0,53.0,0.0,0.0,118.316605,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,0.0,0.0,21.0,0.8502747,0.0,1.0,0
22.0,1,558.3237,3.0,0.0,69.0,2.0,0.0,81.18788,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,12.106992,0.5740336,1.0,0.0,0
36.0,2,0.0,20.859085,0.0,60.0,21.147165,0.0,234.21513,0.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,50.141953,1.7,1.0,1.0,0
17.306118,1,0.0,0.0,0.0,6.0,0.0,0.0,9.176946,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,8,0.0,0.0,2.0,0.09156982,0.0,1.0,0
