estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,cond
78.342705,246.31627,17.71959,58.347824,11.950498,0.0,0.0,100.0,-7.0,7.0,8.0,11.314906,0.0,43.29115,0.0,0.0,0.0,43.21915,75.00578,2.0,2.0,0.0,75.0,2.0
67.28247,158.07877,-4.930892,79.189804,37.30228,0.0,0.0,100.0,-7.0,7.0,8.0,34.0,5.039513,52.962315,0.0,10.013788,6.739764,59.965717,99.59589,5.0,4.0,3.237247,85.85792,2.0
88.0,421.87314,20.0,105.058525,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.6395855,0.0,29.0,0.0,0.0,0.0,2.0,62.77134,1.0,2.0,0.0,35.400806,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
30.990732,98.559845,32.361416,34.96425,5.302559,0.0,0.0,88.0,2.0,3.9826746,6.0,7.0,0.0,37.0,0.0,0.0,0.0,73.3592,42.520058,4.0,1.0,2.0,73.0,2.0
66.09976,114.965645,19.411587,92.437325,7.0,2.598494,0.0,81.45439,24.333427,6.0,3.0,7.0,0.0,14.0,-7.0,0.0,0.0,40.940258,14.614924,3.0,2.0,0.0,87.31633,2.0
66.0,288.97324,11.167765,94.99402,40.714592,0.0,0.0,95.0,6.003524,4.0,6.0,41.33583,1.0,27.0,0.0,2.0,1.0,45.497402,47.73148,5.0,3.0,1.0,89.75777,2.0
69.0,373.00067,9.0,138.36598,23.0,0.0,0.0,89.0,-7.0,2.803929,6.0,20.0,0.0,21.0,0.0,0.0,0.0,-0.12841587,-8.0,2.4166222,1.0,0.0,40.0,2.0
57.898197,10.400894,46.578217,42.517506,3.6616971,0.0,0.0,100.0,-7.0,8.3758545,8.0,3.5267284,0.0,100.0,0.0,1.0,1.0,-9.0,41.221,0.0,2.0,0.0,100.0,2.0
71.0,174.75642,10.0,71.213394,16.0,1.0,0.0,89.30724,33.9467,6.0,5.0,16.920067,1.0,49.989616,0.0,1.0,1.0,54.471687,85.39307,2.0,2.0,1.0,75.0,2.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.0
88.0,202.80713,27.530916,70.89814,8.330329,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,0.0,13.0,-1.1378077,0.0,0.0,5.0,19.868782,2.0,1.0,0.0,60.0,2.0
68.0,163.18541,6.0,52.52463,16.0,1.0,1.0,89.77866,35.393272,6.0,3.0,24.0,1.0,29.22376,0.0,1.0,1.0,45.603195,-8.0,4.0,2.0,1.0,80.0,2.0
64.0,332.66238,66.413055,113.03723,24.0,2.0,0.0,83.537674,23.507397,6.0,6.0,19.0,0.0,19.0,0.0,0.0,0.0,56.790257,-0.6781932,7.0,2.0,6.5241,57.0,2.0
-9.0,169.42804,23.415386,62.024883,5.565661,3.2807617,3.660657,100.0,-7.0,7.0,8.0,6.2036123,0.0,96.131195,1.0,0.0,0.0,1.0,68.1017,1.0,1.0,0.0,50.0,2.0
