estimate_of_risk,months_since_first_trade,months_since_last_trade,average_duration_of_resolution,number_of_satisfactory_trades,nr_trades_insolvent_for_over_60_days,nr_trades_insolvent_for_over_90_days,percentage_of_legal_trades,months_since_last_illegal_trade,maximum_illegal_trades_over_last_year,maximum_illegal_trades,nr_total_trades,nr_trades_initiated_in_last_year,percentage_of_installment_trades,months_since_last_inquiry_not_recent,nr_inquiries_in_last_6_months,nr_inquiries_in_last_6_months_not_recent,net_fraction_of_revolving_burden,net_fraction_of_installment_burden,nr_revolving_trades_with_balance,nr_installment_trades_with_balance,nr_banks_with_high_ratio,percentage_trades_with_balance,is_at_risk
81.0,240.70483,11.0,84.18923,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.520783,1.0,14.0,0.0,0.0,0.0,2.0,78.54683,2.0,3.0,0.0,67.36826,1.0
65.53575,182.60562,14.0,68.055725,5.0540724,1.0,1.0,51.601437,12.697342,4.0,5.0,10.0,0.0,75.48916,0.0,1.0,1.0,-9.0,-8.0,-9.0,-8.0,-8.42083,-9.0,1.0
65.0,-8.923577,15.921457,52.1396,6.99851,1.0,2.0,100.0,-7.0,0.02221614,8.0,9.867119,0.0,81.31211,0.0,1.0,1.0,92.7661,33.995495,1.0,1.0,1.0,86.43906,1.0
-9.0,-9.0,-9.0,-9.0,-4.7672315,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
70.0,58.34628,14.13028,-9.0,-9.0,0.0,0.0,100.0,-7.0,7.0,8.0,3.8777413,0.0,64.48596,2.0,1.0,1.0,-6.6308823,28.433632,-4.162306,2.0,0.0,44.0,1.0
81.89236,299.12387,2.0,93.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.31254,3.0,22.0,-7.0,2.0,2.0,10.207556,42.230053,5.0,1.0,0.0,40.51925,1.0
-9.0,100.06764,20.736244,58.163086,23.0,0.0,0.0,76.39707,2.0,4.0,6.0,19.317461,0.0,16.066425,0.0,3.5512817,3.0,87.264534,52.979183,13.947317,2.0,10.367278,100.0,1.0
55.2393,150.5142,32.883205,69.496666,-9.0,2.0,1.0,-9.0,9.964983,6.0,5.0,-1.9185495,0.0,93.46422,-7.0,1.0,1.0,-4.518594,16.427881,0.0,2.0,-9.0,100.0,1.0
57.62631,192.9394,5.0,70.79944,22.926174,0.0,0.0,54.482338,11.768977,6.0,5.0,22.0,2.0,28.0,3.0,0.0,0.0,57.229263,98.38969,6.0,2.0,2.0,80.0,1.0
68.0,42.0178,11.284332,74.0,10.465712,1.0,0.0,77.20466,20.397629,6.0,5.0,13.0,0.0,43.766228,-8.0,0.0,0.0,55.396786,34.78858,3.0,2.0,0.0,100.0,1.0
54.476547,-9.0,32.04315,-9.0,-9.0,0.0,0.0,-9.0,-7.0,6.0,5.2518487,-9.0,0.0,76.35221,0.0,0.0,0.0,6.0,-8.0,0.0,-8.867847,0.0,100.0,1.0
57.58898,113.9291,7.0,-9.0,4.289973,3.6105642,3.43989,73.7856,18.426373,6.0,2.0,11.0,1.0,46.721474,0.0,4.0,3.0,6.0,-8.0,1.0,2.0,0.0,80.23088,1.0
69.38569,552.6544,5.0,124.07583,30.0,2.0,1.0,92.0,51.172394,6.0,5.0,31.131313,3.3723314,29.029665,1.0,3.0,3.0,20.51886,99.84265,7.0,2.0,1.0,67.0,1.0
73.0,256.78372,21.21936,109.30068,33.62146,0.0,0.0,96.0,40.531555,6.0,6.0,23.947464,0.0,26.448343,0.0,1.0,0.0,47.536304,52.27982,9.0,3.0,2.0,60.0,1.0
64.743866,385.5839,34.29911,83.0,11.805658,1.0,1.0,72.05775,41.33842,6.0,6.0,13.0,0.0,50.51193,0.0,3.0,3.0,-9.0,-8.0,1.0,1.0,0.0,39.967033,1.0
65.0,213.7437,47.94246,120.497894,13.030108,1.0,1.0,77.13117,3.0817208,4.0,2.0,24.0,0.0,27.247698,0.0,1.0,1.0,45.746723,30.728008,2.0,2.0,2.0,80.0,1.0
71.0,147.39534,3.0,-9.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,3.0,28.0,0.0,5.0,4.0,93.926315,99.44553,1.0,3.0,0.0,78.16623,1.0
73.19986,138.35548,20.0,144.9556,22.0,0.0,0.0,89.491516,8.090929,6.0,6.0,14.0,0.0,13.758288,0.0,0.0,0.0,56.286808,-8.0,4.0,1.0,2.0,45.9447,1.0
68.0,61.945213,18.955715,34.816936,5.470636,0.0,0.0,92.0,16.726954,6.0,6.0,5.6310005,0.0,61.84255,-8.0,0.0,0.0,45.692753,48.386795,2.0,2.0,0.0,80.0,1.0
60.640446,231.36273,11.0,84.0,29.473736,2.0,2.0,93.0,-7.0,-9.0,-9.0,35.817333,1.0,50.0,0.0,3.0,2.0,65.268555,79.66233,3.0,3.0,1.0,62.541473,1.0
68.0,139.51073,3.0,42.636303,15.660118,0.0,0.0,100.0,-7.0,7.0,8.0,17.001356,3.0,40.0,0.0,1.0,1.0,86.15928,77.29694,3.0,3.0,1.0,79.589165,1.0
62.860867,138.50595,33.5552,98.64017,16.0,1.889227,1.0,86.0,44.836227,6.0,5.0,23.0,0.0,28.0,0.0,2.0,2.0,67.67957,22.533365,4.0,2.0,1.0,100.0,1.0
71.0,381.10666,6.0,71.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,3.0,41.096912,0.0,0.0,0.0,46.04419,90.63534,4.0,4.0,2.0,78.22565,1.0
76.0,68.23409,7.0,54.143158,11.80573,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,1.0,82.0924,0.0,1.0,1.0,8.016805,-8.0,1.0,2.0,-9.0,76.83616,1.0
65.0,-9.0,57.492718,60.45836,-9.0,1.0,0.0,100.0,-7.0,7.0,8.0,-9.0,0.0,99.9915,0.0,2.0,2.0,-6.24018,-8.0,-5.1739693,-8.0,0.0,16.317156,1.0
66.0,245.16554,2.0,53.750633,15.603449,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,1.0,57.34423,3.0,3.0,3.0,42.413383,-4.8914065,5.0,2.0,1.0,100.0,1.0
51.297874,110.829506,20.619371,84.0,19.0,1.0,0.8783871,69.58545,9.642241,4.0,3.0,23.0,0.0,21.0,0.0,3.0,3.0,109.05924,-8.0,6.0,1.0,5.197551,90.47,1.0
62.0,166.8948,4.0,70.419556,26.0,0.0,0.0,85.009834,-7.0,0.017089047,6.0,28.172728,2.0,49.95483,0.0,1.0,1.0,35.0,4.045217,3.0,3.0,0.0,67.0,1.0
71.0,319.41632,2.0,113.97324,37.0888,4.354871,0.0,89.0,59.867435,6.0,2.0,43.778965,3.0,25.0,0.0,2.0,2.0,29.61709,71.50994,5.5102897,2.0,0.0,60.0,1.0
68.0,22.62406,8.0,61.66366,28.11393,0.0,0.0,96.0,4.428422,6.0,6.0,26.956991,1.0,27.334545,0.0,0.0,0.0,85.64383,98.28834,4.0,3.0,1.0,100.0,1.0
62.29976,111.78045,3.0,86.235695,23.688637,3.0,0.953262,85.31283,34.503765,4.0,3.8404183,19.0,3.0,22.592167,-7.0,1.0,0.0,58.853794,3.89341,7.293333,2.0,2.0,86.53324,1.0
70.0,214.3144,28.76096,83.0,10.692634,1.0,1.0,82.27894,28.1139,6.0,5.0,8.1513815,0.0,70.53823,0.0,2.0,2.0,0.0,48.02452,0.0,2.0,0.0,97.74573,1.0
60.43014,-8.0,3.0,66.0,24.0,0.0,0.0,96.0,-7.0,6.0,8.0,11.0,2.0,23.112919,-7.0,4.0,5.0,43.26322,-8.0,7.0,-8.0,1.0,87.20191,1.0
70.47234,177.3748,1.396007,75.53789,54.50459,0.0,0.0,100.0,-7.0,6.0,8.0,81.45938,5.0,25.0,0.0,3.0,3.0,55.762444,71.09603,9.626223,3.0,9.677509,58.156002,1.0
67.0,108.11775,3.0,59.04745,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,4.0,25.0,1.0,0.26409733,0.0,43.94814,88.69828,6.0,4.0,2.0,73.86204,1.0
73.51357,193.42532,5.0,-4.290104,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.977716,1.0,58.01001,0.0,2.0,2.0,2.0310056,-8.0,1.0,2.0,0.0,57.0,1.0
66.0,136.29633,9.0,75.371475,14.0,2.0,1.0,77.725494,14.861274,4.0,4.0,13.0,1.0,23.452797,-7.0,0.0,0.0,5.7447147,-8.0,2.0,1.0,0.0,33.0,1.0
84.0,322.03284,2.0,147.96007,13.0,0.0,0.0,78.77032,14.03589,6.0,6.0,24.0,1.0,24.04924,2.0,0.0,0.0,-5.8283224,-8.0,2.0,1.0,0.0,33.62231,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0
