age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,3,192791,9,2,6,0,4,1,0,0,40,38,0
37,3,138441,9,0,13,1,4,1,0,0,40,38,0
41,6,288433,14,4,0,1,2,0,0,0,40,38,0
40,3,383300,9,2,5,0,4,1,0,0,40,38,0
31,0,203488,12,4,0,1,4,1,0,0,40,38,0
44,6,119567,14,5,9,4,4,0,0,0,40,38,0
41,3,122626,9,0,5,4,4,1,0,0,48,38,0
29,3,91189,13,2,6,0,4,1,0,0,48,38,0
31,3,368517,12,4,9,1,1,1,0,0,40,38,0
25,3,106889,9,2,0,5,4,0,0,0,30,38,0
24,3,291578,9,2,11,0,4,1,0,0,50,38,0
36,3,116138,9,2,9,0,1,1,0,0,40,0,0
35,3,144200,9,4,5,2,3,1,0,0,25,3,0
27,3,179681,11,3,12,3,4,0,0,0,40,38,0
41,6,180272,14,4,9,3,4,0,0,0,35,38,0
66,3,73522,10,2,11,0,4,1,0,0,40,41,0
36,3,65624,13,4,9,1,4,1,0,0,40,38,0
51,3,276214,9,0,0,1,4,0,0,0,40,38,0
37,3,176293,10,3,9,1,4,0,0,0,30,38,0
42,3,158555,6,2,3,0,4,1,0,0,40,38,0
25,3,175370,10,0,6,3,4,0,0,0,40,38,0
61,3,142245,9,0,0,1,4,0,0,0,40,38,0
47,1,319205,10,0,0,4,4,0,0,0,40,38,0
67,5,75140,9,2,4,0,4,1,0,0,25,38,0
43,3,173316,12,0,2,1,4,1,0,0,40,38,0
46,3,133169,11,2,2,0,4,1,0,0,40,38,0
32,1,84119,9,2,2,0,4,1,0,0,40,38,0
22,3,138768,10,4,3,3,4,1,0,0,50,38,0
29,3,190777,13,2,11,0,4,1,0,0,55,38,0
60,3,118197,10,2,2,0,4,1,0,0,65,38,0
20,3,194891,9,4,0,1,4,0,0,0,40,38,0
20,3,22966,10,4,7,3,4,1,0,0,12,1,0
25,5,159909,11,2,4,0,4,1,0,0,40,38,0
70,3,30713,9,2,4,0,4,1,0,0,30,38,0
39,5,191342,13,2,3,0,1,1,0,0,50,34,0
36,3,210452,13,0,9,4,4,1,0,0,45,38,0
37,6,62428,10,4,9,4,2,0,0,0,15,38,0
47,4,54260,10,2,11,0,4,1,0,0,45,38,0
23,3,154641,9,4,5,3,4,1,0,0,40,38,0
42,3,118686,10,0,9,4,4,0,0,0,20,38,0
67,1,204123,13,2,9,0,4,1,0,0,10,38,0
22,3,195179,10,4,11,3,4,1,0,0,24,38,0
41,5,99220,10,2,6,0,4,1,0,0,40,38,0
28,3,147560,10,4,11,3,4,1,0,0,40,38,0
42,1,227890,13,2,3,0,4,1,0,1485,40,38,0
42,3,163003,13,3,12,3,1,0,0,0,40,38,0
20,3,187158,10,4,0,3,4,0,0,0,15,38,0
28,3,76313,10,2,2,0,0,1,0,0,60,38,0
26,3,208122,10,0,5,1,4,1,0,0,45,38,0
30,3,426017,7,4,7,3,4,0,0,0,19,38,0
31,3,331065,13,4,3,1,4,0,0,1408,40,38,0
37,3,632613,6,2,4,0,4,1,0,0,35,25,0
51,3,338620,14,2,3,0,4,1,15024,0,60,38,1
20,3,140513,10,4,0,3,2,0,0,0,25,38,0
26,1,213258,13,4,9,3,4,1,0,0,40,38,0
28,3,257405,3,4,4,4,2,1,0,0,40,25,0
26,3,68895,9,4,0,1,4,1,0,0,50,25,0
35,1,204277,13,2,9,0,4,1,0,0,40,38,0
56,5,201318,5,2,3,2,4,1,3411,0,50,3,0
33,3,112820,11,2,10,0,4,1,0,0,40,38,0
47,3,180551,10,2,13,0,4,1,0,0,50,38,0
29,3,77322,9,4,7,1,4,0,0,0,32,38,0
37,3,216924,9,0,4,3,4,1,0,0,60,38,0
57,4,103948,13,0,9,1,4,1,0,0,80,38,0
38,3,187264,9,2,3,5,4,0,0,0,55,38,0
22,3,408385,6,4,5,3,4,1,0,0,40,38,0
63,5,33487,4,2,2,0,4,1,0,0,40,38,0
32,3,30433,13,4,12,2,4,0,0,0,72,38,0
32,3,195744,9,4,2,1,4,1,0,0,40,38,0
66,3,102423,11,2,0,0,4,1,0,0,30,38,0
29,6,133846,10,4,7,3,4,0,0,0,40,38,0
19,3,223648,9,4,11,1,4,1,4101,0,48,38,0
42,3,183765,10,2,11,0,4,1,0,0,50,38,0
24,3,433330,9,0,6,1,4,1,0,0,40,38,0
69,1,216269,12,6,0,4,4,0,0,0,40,38,0
48,3,215895,13,4,3,3,4,1,0,0,40,38,0
38,1,745768,10,0,3,4,2,0,0,0,45,38,0
21,3,301694,9,4,2,1,4,1,0,0,35,25,0
18,3,334427,6,4,4,3,4,1,0,0,36,38,0
29,3,353352,11,4,2,2,4,1,0,0,40,38,0
20,3,197997,9,4,2,1,4,1,0,0,40,38,0
62,6,198686,9,2,7,0,4,1,0,0,40,38,0
51,3,138852,9,2,2,0,4,1,0,0,40,38,0
23,3,123586,10,4,0,3,3,1,0,0,25,38,0
39,3,260084,10,0,0,4,4,0,0,0,24,38,0
42,3,191196,12,0,0,1,4,1,0,0,40,38,0
35,3,346766,9,4,5,1,4,0,0,0,40,38,0
30,3,381153,10,2,2,0,4,1,0,0,40,38,0
25,3,201737,10,0,0,4,4,0,0,0,40,38,0
47,3,181758,9,4,13,1,2,1,0,0,40,38,0
24,3,186452,9,4,3,1,4,1,0,0,50,38,0
24,3,164529,8,4,4,3,2,1,0,0,40,38,0
18,3,36162,7,4,2,3,4,1,0,0,5,38,0
24,3,299528,10,4,11,1,1,0,0,0,50,35,0
59,3,32552,13,2,2,0,4,1,0,0,4,38,0
25,3,248612,12,4,2,1,4,1,0,0,30,38,0
41,3,43467,13,0,7,1,4,0,0,0,99,38,0
50,3,280278,9,6,9,4,2,0,0,0,40,38,0
42,3,168515,11,0,9,1,4,0,0,0,40,38,0
25,3,67151,13,4,3,1,4,0,0,0,60,38,0
32,3,185732,7,0,7,4,4,0,0,0,40,38,0
21,3,227411,11,4,11,3,4,0,0,0,40,38,0
39,3,101020,8,2,6,0,4,1,0,0,40,38,0
24,3,266926,10,2,5,0,4,1,0,0,40,38,0
41,3,347890,9,0,6,1,4,1,0,0,40,38,0
53,5,297796,6,2,4,0,4,1,0,0,40,38,0
21,3,226145,10,4,5,3,4,1,0,0,30,38,0
52,1,346668,14,4,9,3,4,0,0,0,40,38,0
19,3,262601,9,4,7,3,4,0,0,0,14,38,0
22,6,309348,10,4,0,1,4,0,0,0,15,38,0
48,3,195554,4,0,7,1,4,1,0,0,40,38,0
22,3,60552,10,4,11,3,4,0,0,0,40,38,0
21,3,129137,9,4,7,2,4,0,1055,0,35,38,0
29,3,273884,9,3,13,3,4,1,0,0,30,38,0
26,3,135848,13,4,11,1,4,1,0,0,10,12,0
36,3,131414,10,4,11,1,2,0,0,0,36,38,0
28,3,270366,6,0,11,1,4,0,0,0,40,38,0
25,3,139012,13,4,11,3,1,1,2174,0,40,39,0
21,3,185582,10,4,11,3,4,1,0,0,43,38,0
34,0,153614,12,2,0,0,4,1,0,0,40,38,0
41,5,38876,11,2,4,0,4,1,0,0,60,38,0
59,1,251890,6,6,7,1,4,0,0,0,25,32,0
66,3,236784,13,0,9,4,4,0,0,0,8,4,0
25,3,456604,7,2,6,0,4,1,0,0,40,38,0
21,3,50411,9,4,4,1,4,1,0,0,40,38,0
25,3,212495,13,4,3,3,4,1,0,1340,40,38,0
17,3,91141,6,4,11,3,4,1,0,0,8,38,0
44,3,56651,9,2,4,0,4,1,0,0,40,38,0
